time (s)	°C
0.888	24.062
60.8879	24.375
120.968	24.687
180.9678	24.812
241.048	25.062
301.0479	25.125
361.1281	25.187
421.2079	25.375
481.2879	25.687
541.3678	26
601.3678	26.125
661.4479	26.125
721.528	26.125
781.5281	26
841.5279	26.062
901.6079	26.187
961.6879	26.5
1021.6878	26.812
1081.768	27.062
1141.7679	27.125
1201.8479	27.062
1261.9279	26.937
1322.0078	26.812
1382.0078	26.687
1442.0878	26.375
1502.1679	26.25
1562.1679	26.187
1622.2479	26.187
1682.3278	26.125
1742.3279	26
1802.4083	25.75
1862.4879	25.5
1922.4879	25.437
1982.5679	25.312
2042.5679	25.125
2102.648	24.625
2162.6479	24.187
2222.7278	24.062
2282.8078	23.937
2342.808	23.562
2402.8079	23.25
2462.8879	23.062
2522.9678	22.812
2583.048	22.687
2643.0479	22.625
2703.1282	22.375
2763.2079	22.125
2823.2079	22
2883.288	22
2943.3679	21.937
3003.4479	22
3063.4479	21.875
3123.4479	21.75
3183.4478	21.562
3243.5279	21.312
3303.6079	21.062
3363.6079	20.812
3423.6879	20.687
3483.7679	20.562
3543.8478	20.437
3603.8479	20.375
3663.9679	20.25
3723.9279	20.312
3784.0078	20.312
3844.0078	20.5
3904.0879	20.625
3964.1679	21
4024.2577	21.25
4084.2582	21.687
4144.387	22.187
4204.417	22.5
4264.4971	22.937
4324.497	23.25
4384.5668	23.5
4444.6468	23.562
4504.7269	23.562
4564.7269	23.5
4624.8069	23.5
4684.8869	23.437
4744.8869	22.937
4804.9668	22.125
4864.9669	21.562
4925.0474	21.187
4985.1278	20.937
5045.1275	20.687
5105.2074	19.75
5165.2874	18.687
5225.3684	18.5
5285.3684	18.312
5345.3679	18.25
5405.4479	18.312
5465.4479	18.375
5525.5279	18.312
5585.6078	18.25
5645.6079	18.187
5705.6878	18
5765.7678	17.875
5825.7679	17.687
5885.8479	17.5
5945.8479	17.375
6005.9279	17.437
6066.0079	17.75
6126.0078	18.437
6186.0879	19.25
6246.1684	19.75
6306.2478	20.25
6366.2478	20.687
6426.3678	20.687
6486.4078	20.937
6546.4879	21
6606.488	21.312
6666.5679	21.5
6726.6479	21.625
6786.7279	21.875
6846.7279	21.937
6906.8079	21.812
6966.8879	21.375
7026.9686	21.062
7086.9679	21.062
7147.0479	21.312
7207.1278	21.812
7267.2079	22.125
7327.2079	22.125
7387.288	21.875
7447.3678	22.062
7507.4479	22.437
7567.4479	22.937
7627.5278	23.25
7687.6079	23.312
7747.6879	23
7807.6879	22.875
7867.7678	22.875
7927.8479	23.437
7987.9279	23.5
8047.9279	23.5
8108.0078	23.25
8168.0879	22.875
8228.1685	22.687
8288.1684	22.562
8348.2479	22.187
8408.3278	21.75
8468.4078	21.375
8528.4079	21.125
8588.4879	20.812
